site,subsite,density_trt,operc_length_mm,date_photo
RT,RT3,L,1.682,7/10/2018
RT,RT3,L,1.192,7/10/2018
RT,RT3,L,1.029,7/10/2018
RT,RT3,L,1.919,7/10/2018
RT,RT3,L,1.445,7/10/2018
RT,RT3,L,1.127,7/10/2018
RT,RT3,L,1.284,7/10/2018
RT,RT3,L,1.304,7/10/2018
RT,RT3,L,1.479,7/10/2018
RT,RT3,L,1.478,7/10/2018
RT,RT3,L,1.236,7/10/2018
RT,RT3,L,1.367,7/10/2018
RT,RT3,L,1.147,7/10/2018
RT,RT3,L,1.559,7/10/2018
RT,RT3,L,1.269,7/10/2018
RT,RT3,L,1.188,7/10/2018
RT,RT3,L,1.517,7/10/2018
RT,RT3,L,1.096,7/10/2018
RT,RT3,L,1.487,7/10/2018
RT,RT3,L,1.43,7/10/2018
RT,RT3,L,1.923,7/10/2018
RT,RT3,L,1.505,7/10/2018
RT,RT3,L,1.712,7/10/2018
RT,RT3,L,1.551,7/10/2018
RT,RT3,L,1.363,7/10/2018
RT,RT3,L,1.25,7/10/2018
RT,RT3,L,1.183,7/10/2018
RT,RT3,L,1.49,7/10/2018
RT,RT3,L,1.192,7/10/2018
RT,RT3,L,1.075,7/10/2018
RT,RT3,L,1.615,7/10/2018
RT,RT3,L,1.754,7/10/2018
RT,RT3,L,1.284,7/10/2018
RT,RT3,L,1.247,7/10/2018
RT,RT3,L,1.914,7/10/2018
RT,RT3,L,1.412,7/10/2018
RT,RT3,L,1.188,7/10/2018
RT,RT3,L,1.332,7/10/2018
RT,RT3,L,1.051,7/10/2018
RT,RT3,L,1.774,7/10/2018
RT,RT3,L,1.637,7/10/2018
RT,RT3,L,1.189,7/10/2018
RT,RT3,L,1.421,7/10/2018
RT,RT3,L,1.579,7/10/2018
RT,RT3,L,1.734,7/10/2018
RT,RT3,L,1.531,7/10/2018
RT,RT3,L,1.529,7/10/2018
RT,RT3,L,1.624,7/10/2018
RT,RT3,L,1.445,7/10/2018
RT,RT3,L,1.539,7/10/2018
RT,RT3,L,1.734,7/10/2018
RT,RT3,L,1.8,7/10/2018
RT,RT3,L,1.733,7/10/2018
RT,RT3,L,1.657,7/10/2018
RT,RT3,L,1.455,7/10/2018
RT,RT3,L,1.424,7/10/2018
RT,RT3,L,1.672,7/10/2018
RT,RT3,L,1.235,7/10/2018
RT,RT3,L,1.574,7/10/2018
RT,RT3,M,1.798,7/10/2018
RT,RT3,M,2.377,7/10/2018
RT,RT3,M,1.07,7/10/2018
RT,RT3,M,2.075,7/10/2018
RT,RT3,M,1.799,7/10/2018
RT,RT3,M,1.856,7/10/2018
RT,RT3,M,1.788,7/10/2018
RT,RT3,M,1.944,7/10/2018
RT,RT3,M,1.161,7/10/2018
RT,RT3,M,1.494,7/10/2018
RT,RT3,M,1.409,7/10/2018
RT,RT3,M,1.478,7/10/2018
RT,RT3,M,1.542,7/10/2018
RT,RT3,M,1.706,7/10/2018
RT,RT3,M,1.14,7/10/2018
RT,RT3,M,1.955,7/10/2018
RT,RT3,M,1.47,7/10/2018
RT,RT3,M,1.452,7/10/2018
RT,RT3,M,1.758,7/10/2018
RT,RT3,M,1.225,7/10/2018
RT,RT3,M,1.887,7/10/2018
RT,RT3,M,1.498,7/10/2018
RT,RT3,M,1.508,7/10/2018
RT,RT3,M,1.568,7/10/2018
RT,RT3,M,1.17,7/10/2018
RT,RT3,M,1.659,7/10/2018
RT,RT3,M,1.766,7/10/2018
RT,RT3,M,1.579,7/10/2018
RT,RT3,M,1.921,7/10/2018
RT,RT3,M,1.367,7/10/2018
RT,RT3,M,1.201,7/10/2018
RT,RT3,M,1.49,7/10/2018
RT,RT3,M,0.805,7/10/2018
RT,RT3,M,1.434,7/10/2018
RT,RT3,M,1.75,7/10/2018
RT,RT3,M,2.094,7/10/2018
RT,RT3,M,1.297,7/10/2018
RT,RT3,M,1.934,7/10/2018
RT,RT3,M,2.036,7/10/2018
RT,RT3,M,1.543,7/10/2018
RT,RT3,M,1.856,7/10/2018
RT,RT3,M,1.298,7/10/2018
RT,RT3,M,1.531,7/10/2018
RT,RT3,M,1.983,7/10/2018
RT,RT3,M,1.854,7/10/2018
RT,RT3,M,1.312,7/10/2018
RT,RT3,M,0.911,7/10/2018
RT,RT3,M,1.264,7/10/2018
RT,RT3,M,1.732,7/10/2018
RT,RT3,M,2.055,7/10/2018
RT,RT3,M,1.692,7/10/2018
RT,RT3,M,1.773,7/10/2018
RT,RT3,M,1.495,7/10/2018
RT,RT3,M,1.589,7/10/2018
RT,RT3,M,1.518,7/10/2018
RT,RT3,M,1.321,7/10/2018
RT,RT3,M,1.251,7/10/2018
RT,RT3,M,1.604,7/10/2018
RT,RT3,M,1.338,7/10/2018
RT,RT3,M,1.49,7/10/2018
RT,RT3,M,1.329,7/10/2018
RT,RT3,M,1.663,7/10/2018
RT,RT3,M,1.567,7/10/2018
RT,RT3,M,1.935,7/10/2018
RT,RT3,M,1.887,7/10/2018
RT,RT3,M,1.173,7/10/2018
RT,RT3,M,1.211,7/10/2018
RT,RT3,M,1.714,7/10/2018
RT,RT3,M,0.908,7/10/2018
RT,RT3,M,1.119,7/10/2018
RT,RT3,M,1.398,7/10/2018
RT,RT3,M,1.55,7/10/2018
RT,RT3,M,1.01,7/10/2018
RT,RT3,M,1.287,7/10/2018
RT,RT3,M,1.235,7/10/2018
RT,RT3,M,1.315,7/10/2018
RT,RT3,M,1.446,7/10/2018
RT,RT3,M,1.57,7/10/2018
RT,RT3,M,1.414,7/10/2018
RT,RT3,M,1.853,7/10/2018
RT,RT3,M,1.391,7/10/2018
RT,RT3,M,1.374,7/10/2018
RT,RT3,M,1.24,7/10/2018
RT,RT3,M,0.166,7/10/2018
RT,RT3,M,1.217,7/10/2018
RT,RT3,M,1.232,7/10/2018
RT,RT3,M,0.927,7/10/2018
RT,RT3,M,1.196,7/10/2018
RT,RT3,M,1.878,7/10/2018
RT,RT3,M,1.418,7/10/2018
RT,RT3,M,1.184,7/10/2018
RT,RT3,M,2.171,7/10/2018
RT,RT3,M,1.485,7/10/2018
RT,RT3,M,1.498,7/10/2018
RT,RT3,M,1.17,7/10/2018
RT,RT3,M,1.111,7/10/2018
RT,RT3,M,1.466,7/10/2018
RT,RT3,M,1.635,7/10/2018
RT,RT3,M,1.466,7/10/2018
RT,RT3,M,1.579,7/10/2018
RT,RT3,M,1.409,7/10/2018
RT,RT3,M,1.675,7/10/2018
RT,RT3,M,1.291,7/10/2018
RT,RT3,M,1.566,7/10/2018
RT,RT3,M,2.004,7/10/2018
RT,RT3,M,1.579,7/10/2018
RT,RT3,M,1.466,7/10/2018
RT,RT3,M,1.826,7/10/2018
RT,RT3,M,1.129,7/10/2018
RT,RT3,M,1.334,7/10/2018
RT,RT3,M,1.686,7/10/2018
RT,RT3,M,2.207,7/10/2018
RT,RT3,M,2.056,7/10/2018
RT,RT3,M,1.794,7/10/2018
RT,RT3,M,2.164,7/10/2018
RT,RT3,M,1.493,7/10/2018
RT,RT3,M,1.778,7/10/2018
RT,RT3,M,1.516,7/10/2018
RT,RT3,M,2.051,7/10/2018
RT,RT3,M,1.192,7/10/2018
RT,RT3,M,1.451,7/10/2018
RT,RT3,M,1.235,7/10/2018
